
NO,Value,Sell,Buy,Date
304,1,49839.4,49301.92,8/29/2023
305,1,49821.73,49309.98,8/28/2023
306,1,49733.19,49222.39,8/25/2023
307,1,49959.73,49408.14,8/24/2023
308,1,50055.67,49461.16,8/23/2023
309,1,50011.85,49498.12,8/22/2023
310,1,49995.26,49425.51,8/21/2023
311,1,50034.28,49470.46,8/18/2023
312,1,50140.54,49599.71,8/16/2023
313,1,50088.18,49541.48,8/15/2023
314,1,49761.39,49224.63,8/14/2023
315,1,49705.67,49191.88,8/11/2023
316,1,49692.81,49182.36,8/10/2023
317,1,49792.28,49200.76,8/9/2023
318,1,49591.63,49082.23,8/8/2023
319,1,49562.18,49053.08,8/7/2023
320,1,49653.75,49143.71,8/4/2023
321,1,49586.48,49077.15,8/3/2023
322,1,49422.84,48915.19,8/2/2023
323,1,49379.67,48872.42,8/1/2023
324,1,49369.53,48801.96,7/31/2023
325,1,49154.07,48649.14,7/28/2023
326,1,49245.88,48739.99,7/27/2023
327,1,49151.15,48609.84,7/26/2023
328,1,49213.53,48707.97,7/25/2023
329,1,49182.94,48677.7,7/24/2023
330,1,49167.65,48607.06,7/21/2023
331,1,49233.74,48672.29,7/20/2023
332,1,49276.41,48682.74,7/18/2023
333,1,49093.71,48544.89,7/17/2023
334,1,49190.84,48606.08,7/14/2023
335,1,49404.97,48841.75,7/13/2023
336,1,49652.35,49081.53,7/12/2023
337,1,49708.48,49197.85,7/11/2023
338,1,49499.46,48990.99,7/10/2023
339,1,49286.33,48734.03,7/7/2023
340,1,49134,48591.28,7/6/2023
341,1,49121.56,48601.15,7/5/2023
342,1,49154.69,48603.93,7/4/2023
343,1,49073.86,48569.75,7/3/2023
344,1,49130.14,48625.46,6/27/2023
345,1,49030.61,48526.96,6/26/2023
346,1,48823.08,48321.54,6/23/2023
347,1,48992.65,48489.38,6/22/2023
348,1,49238.39,48732.58,6/21/2023
349,1,49106.99,48562.97,6/20/2023
350,1,48975.25,48424.74,6/19/2023
351,1,48888.99,48386.75,6/16/2023
352,1,48743.06,48193.68,6/15/2023
353,1,48632.51,48132.94,6/14/2023
354,1,48653.72,48153.93,6/13/2023
355,1,48608.75,48064.07,6/12/2023
356,1,48716.86,48200.79,6/9/2023
357,1,48577.96,48078.97,6/8/2023
358,1,48502.91,47989.11,6/7/2023
359,1,48636.2,48095.97,6/6/2023
360,1,49023.02,48519.49,6/5/2023
361,1,48929.42,48374.94,5/31/2023
362,1,48921.81,48419.32,5/30/2023
363,1,48925.41,48383.45,5/29/2023
364,1,48878.64,48376.55,5/26/2023
365,1,48770.98,48241.75,5/25/2023
366,1,48674.73,48174.72,5/24/2023
367,1,48760.72,48259.78,5/23/2023
368,1,48853.35,48351.51,5/22/2023
369,1,48691.88,48191.68,5/19/2023
370,1,48517.02,48018.61,5/17/2023
371,1,48507.76,48009.45,5/16/2023
372,1,48355.38,47858.62,5/15/2023
373,1,48263.34,47767.53,5/12/2023
374,1,48367.27,47836.04,5/11/2023
375,1,48390.69,47893.6,5/10/2023
376,1,48271.13,47737.78,5/9/2023
377,1,48187.72,47641.3,5/8/2023
378,1,48019.98,47511.14,5/5/2023
379,1,48289.65,47734.29,5/4/2023
380,1,48208.9,47693.45,5/3/2023
381,1,48110.46,47560.28,5/2/2023
382,1,48461.15,47914.76,4/28/2023
383,1,48883.55,48327.64,4/27/2023
384,1,48764.56,48222.67,4/26/2023
385,1,48487.46,47989.36,4/18/2023
386,1,48196.1,47685.35,4/17/2023
387,1,48568.87,48069.89,4/14/2023
388,1,48762.46,48261.51,4/13/2023
389,1,48828.25,48310.86,4/12/2023
390,1,48840.95,48320.34,4/11/2023
391,1,48963.91,48460.87,4/10/2023
392,1,48923.16,48420.55,4/6/2023
393,1,48883.14,48380.93,4/5/2023
394,1,49071.5,48567.4,4/4/2023
395,1,49083.32,48579.05,4/3/2023
396,1,49386.02,48834.08,3/31/2023
397,1,49507.1,48998.5,3/30/2023
398,1,49510.04,49001.4,3/29/2023
399,1,49774.37,49246.95,3/28/2023
400,1,49916.42,49355.21,3/27/2023
401,1,50305.73,49788.91,3/24/2023
402,1,50392.6,49874.91,3/21/2023
403,1,50325.34,49808.35,3/20/2023
404,1,50490.7,49955.75,3/17/2023
405,1,50356.53,49839.19,3/16/2023
406,1,50402.39,49868.35,3/15/2023
407,1,50377.8,49860.27,3/14/2023
408,1,50601.67,50081.87,3/13/2023
409,1,50464.11,49945.73,3/10/2023
410,1,50518.09,49999.19,3/9/2023
411,1,50335.22,49818.1,3/8/2023
412,1,50118.96,49604.13,3/7/2023
413,1,50105.96,49591.24,3/6/2023
414,1,50002.8,49489.17,3/3/2023
415,1,49955.18,49442,3/2/2023
416,1,49885.03,49369.36,3/1/2023
417,1,49976.79,49444.09,2/28/2023
418,1,49837.31,49322.13,2/27/2023
419,1,49760.15,49245.79,2/24/2023
420,1,49904.04,49388.14,2/23/2023
421,1,49776.16,49264.77,2/22/2023
422,1,49759.56,49248.36,2/21/2023
423,1,49812.49,49300.73,2/20/2023
424,1,49806.94,49295.25,2/17/2023
425,1,49869.27,49353.72,2/16/2023
426,1,49834.38,49319.17,2/15/2023
427,1,49969.22,49455.85,2/14/2023
428,1,49801,49289.34,2/13/2023
429,1,49715.69,49204.91,2/10/2023
430,1,49761.34,49250.07,2/9/2023
431,1,49765.12,49253.87,2/8/2023
432,1,49516.53,48988.59,2/7/2023
433,1,49072.43,48568.23,2/6/2023
434,1,49042.73,48538.81,2/3/2023
435,1,49360.95,48850.63,2/2/2023
436,1,49343.25,48836.27,2/1/2023
437,1,49311.78,48805.1,1/31/2023
438,1,49314.93,48808.25,1/30/2023
439,1,49310.84,48804.18,1/27/2023
440,1,49273.3,48687.26,1/26/2023
441,1,49160.11,48651.83,1/25/2023
442,1,49772.7,49261.35,1/24/2023
443,1,49756.18,49244.92,1/20/2023
444,1,49797.64,49286.04,1/19/2023
445,1,49896.05,49363.99,1/18/2023
446,1,49459.63,48951.49,1/17/2023
447,1,49983.25,49453.46,1/16/2023
448,1,50509.68,49987.48,1/13/2023
449,1,51063.97,50456.78,1/12/2023
450,1,51229.29,50702.99,1/11/2023
451,1,51154.92,50629.37,1/10/2023
452,1,51211.32,50685.27,1/9/2023
453,1,51263.11,50653.72,1/6/2023
454,1,51254.43,50727.83,1/5/2023
455,1,51251.02,50641.67,1/4/2023
456,1,51156.71,50631.14,1/3/2023
457,1,51222.41,50643.21,1/2/2023
